#,الاسم عربي,الاسم انجليزي,الفئة,السعر,الوحدة,المصدر,الحالة
42,بنجر تشيوجيا,Chioggia Beetroot,خضروات مستوردة,37,كجم,مستورد,متوفر
43,بنجر ميني أصفر,Mini Yellow Beetroot,خضروات مستوردة,22,حبة,مستورد,متوفر
44,فلفل أخضر مستورد,Imported Green Pepper,خضروات مستوردة,27,كجم,مستورد,متوفر
45,كرنب برسلز,Brussels Sprouts,خضروات مستوردة,25,كجم,مستورد,متوفر
46,كرنب صيني,Chinese Cabbage,خضروات مستوردة,20,كجم,مستورد,متوفر
47,كرنب أبيض مستورد,Imported White Cabbage,خضروات مستوردة,17,كجم,مستورد,متوفر
48,جزر بيبي أحمر,Red Baby Carrot,خضروات مستوردة,8,حزمة,مستورد,متوفر
49,جزر بيبي أصفر,Yellow Baby Carrot,خضروات مستوردة,36,كجم,مستورد,متوفر
50,جذور كرفس بيضاء,Celeriac White,خضروات مستوردة,20,كجم,مستورد,متوفر
51,شايوت أخضر,Chayote Green,خضروات مستوردة,30,كجم,مستورد,متوفر
52,فلفل جالابينو أخضر,Green Jalapeno,خضروات مستوردة,30,كجم,مستورد,متوفر
53,فلفل جالابينو أحمر,Red Jalapeno,خضروات مستوردة,45,كجم,مستورد,متوفر
54,فلفل جالابينو أصفر,Yellow Jalapeno,خضروات مستوردة,45,كجم,مستورد,متوفر
55,فلفل جالابينو برتقالي,Orange Jalapeno,خضروات مستوردة,45,كجم,مستورد,متوفر
56,فلفل أصفر روماني,Roman Yellow Pepper,خضروات مستوردة,22,كجم,مستورد,متوفر
57,ذرة بيبي طازجة,Fresh Baby Corn,خضروات مستوردة,80,كجم,مستورد,متوفر
58,خيار طويل مستورد,Imported Long Cucumber,خضروات مستوردة,20,كجم,مستورد,متوفر
59,فول فافا طازج,Fresh Fava Beans,خضروات مستوردة,39,كجم,مستورد,متوفر
60,فينل بيبي (شمر),Baby Fennel,خضروات مستوردة,21,حبة,مستورد,متوفر
61,كولرابي مستورد,Imported Kohlrabi,خضروات مستوردة,18,كجم,مستورد,متوفر
62,فطر بوتون بني,Brown Button Mushroom,فطر,25,كجم,مستورد,متوفر
63,فطر بورشيني,Porcini Mushroom,فطر,85,كجم,مستورد,متوفر
64,فطر كستناء,Chestnut Mushroom,فطر,30,كجم,مستورد,متوفر
65,فطر إنوكي,Enoki Mushroom,فطر,20,حبة,مستورد,متوفر
67,فطر شيتاكي,Shiitake Mushroom,فطر,74,كجم,مستورد,متوفر
68,فطر شيميجي أبيض,White Shimeji Mushroom,فطر,48,كجم,مستورد,متوفر
69,بصل لؤلؤي أحمر,Red Pearl Onion,خضروات مستوردة,21,كجم,مستورد,متوفر
70,بصل لؤلؤي أبيض,White Pearl Onion,خضروات مستوردة,21,كجم,مستورد,متوفر
71,بصل أحمر جومبو,Jumbo Red Onion,خضروات مستوردة,21,كجم,مستورد,متوفر
72,بصل شالوت,Shallots,خضروات مستوردة,42,كجم,مستورد,متوفر
73,بصل أبيض مستورد,Imported White Onion,خضروات مستوردة,15,كجم,مستورد,متوفر
74,بازلاء خضراء,Green Peas,خضروات مستوردة,29,كجم,مستورد,متوفر
75,بطاطس بيبي,Baby Potato,خضروات مستوردة,21,كجم,مستورد,متوفر
76,بطاطس بيبي حمراء,Red Baby Potato,خضروات مستوردة,21,كجم,مستورد,متوفر
77,بطاطس بيبي بيضاء,White Baby Potato,خضروات مستوردة,21,كجم,مستورد,متوفر
78,بطاطس حلوة أمريكية,Sweet Potato USA,خضروات مستوردة,21,كجم,أمريكا,متوفر
79,رومانيسكو ميني,Mini Romanesco,خضروات مستوردة,37,كجم,مستورد,متوفر
80,كرنب سافوي,Savoy Cabbage,خضروات مستوردة,22,كجم,مستورد,متوفر
81,بازلاء الثلج,Snow Peas,خضروات مستوردة,37,كجم,مستورد,متوفر
82,قرع أكرون أخضر,Green Akron Squash,خضروات مستوردة,26,كجم,مستورد,متوفر
83,قرع باترونت,Butternut Squash,خضروات مستوردة,21,كجم,مستورد,متوفر
84,طماطم كومب برتقالي,Orange Kumquat Tomato,خضروات مستوردة,38,كجم,مستورد,متوفر
85,طماطم كومب حمراء,Red Kumquat Tomato,خضروات مستوردة,35,كجم,مستورد,متوفر
86,طماطم كرزية صفراء,Yellow Cherry Tomato,خضروات مستوردة,35,كجم,مستورد,متوفر
87,طماطم هيرلوم,Heirloom Tomato,خضروات مستوردة,37,كجم,مستورد,متوفر
88,طماطم مارماند,Marmande Tomato,خضروات مستوردة,40,كجم,مستورد,متوفر
89,طماطم روما بلوم,Roma Plum Tomato,خضروات مستوردة,20,كجم,مستورد,متوفر
90,كركم طازج,Fresh Turmeric,خضروات مستوردة,20,كجم,مستورد,متوفر
91,لفت ميني مستورد,Imported Mini Turnip,خضروات مستوردة,122,كجم,مستورد,متوفر
92,كوسا بيبي مع الزهرة,Baby Zucchini With Flower,خضروات مستوردة,27,كجم,مستورد,متوفر
93,موز,Banana,فواكه مستوردة,6.5,كجم,مستورد,متوفر
94,تفاح سكري,Sukari Apple,فواكه محلية,7,كجم,محلي,متوفر
95,تفاح أخضر,Green Apple,فواكه مستوردة,7,كجم,مستورد,متوفر
96,تفاح أحمر,Red Apple,فواكه مستوردة,7.5,كجم,مستورد,متوفر
97,برتقال عصير,Juice Orange,فواكه محلية,5,كجم,محلي,متوفر
98,برتقال أبو سورة,Navel Orange,فواكه محلية,7,كجم,محلي,متوفر
99,مانجو تيمور,Mango Taimur,فواكه مستوردة,18,كجم,مستورد,متوفر
100,فروالة مصري,Egyptian Strawberry,فواكه مستوردة,20,كجم,مصر,متوفر
101,كيوي,Kiwi,فواكه مستوردة,12,كجم,مستورد,متوفر
102,عنب أخضر محلي,Local Green Grapes,فواكه محلية,13,كجم,محلي,متوفر
103,أناناس كبير,Large Pineapple,فواكه مستوردة,10,كجم,مستورد,متوفر
104,رمان محلي,Local Pomegranate,فواكه محلية,13,كجم,محلي,متوفر
105,شمام,Sweet Melon,فواكه محلية,3.5,كجم,محلي,متوفر
106,بطيخ مدور محلي,Round Watermelon,فواكه محلية,3.5,كجم,محلي,متوفر
107,ليمون كبير محلي,Large Local Lemon,فواكه محلية,9,كجم,محلي,متوفر
108,ليمون صغير محلي,Small Local Lemon,فواكه محلية,4,حبة,محلي,متوفر
109,مشمش مستورد (أمريكي),Imported Apricot USA,فواكه مستوردة,35,كجم,أمريكا,متوفر
110,توت أسود أمريكي,Blackberries,فواكه مستوردة,15,حبة,أمريكا,متوفر
111,توت أزرق مستورد,Blueberries,فواكه مستوردة,14,حبة,مستورد,متوفر
112,شمام كانتالوب,Cantaloupe Melon,فواكه مستوردة,22,كجم,مستورد,متوفر
113,كرز أمريكي,USA Cherry,فواكه مستوردة,80,كجم,أمريكا,متوفر
114,كرز استرالي,Australian Cherry,فواكه مستوردة,50,كجم,أستراليا,متوفر
115,كرانبيري طازج,Fresh Cranberry,فواكه مستوردة,60,كجم,مستورد,متوفر
116,ثمرة التنين,Dragon Fruit,فواكه مستوردة,38,كجم,مستورد,متوفر
117,دوريان مستورد,Imported Durian,فواكه مستوردة,38,كجم,مستورد,متوفر
118,كمثرى فوريل,Forelle Pear,فواكه مستوردة,10,كجم,مستورد,متوفر
119,غرانديلا مستوردة,Imported Granadilla,فواكه مستوردة,33,كجم,مستورد,متوفر
120,جريب فروت وردي,Pink Grapefruit,فواكه مستوردة,20,كجم,مستورد,متوفر
121,شمام هوني ديو,Honeydew Melon,فواكه مستوردة,22,كجم,مستورد,متوفر
122,كيوانو هولندا,Kiwano Holland,فواكه مستوردة,60,كجم,هولندا,متوفر
123,كومكوات مستورد,Imported Kumquat,فواكه مستوردة,52,كجم,مستورد,متوفر
124,لونغان مستورد,Imported Longan,فواكه مستوردة,37,كجم,مستورد,متوفر
125,ليتشي مستورد,Imported Lychee,فواكه مستوردة,45,كجم,مستورد,متوفر
126,مانغوستين مستورد,Imported Mangosteen,فواكه مستوردة,36,كجم,مستورد,متوفر
127,نكتارين أمريكي,Nectarine USA,فواكه مستوردة,32,كجم,أمريكا,متوفر
128,باسيون فروت,Passion Fruit,فواكه مستوردة,35,كجم,مستورد,متوفر
129,خوخ مستورد,Imported Peach,فواكه مستوردة,32,كجم,مستورد,متوفر
130,فيزاليس (حرنكش),Physalis,فواكه مستوردة,65,كجم,مستورد,متوفر
131,رامبوتان مستورد,Imported Rambutan,فواكه مستوردة,35,كجم,مستورد,متوفر
132,توت أحمر مستورد,Red Raspberries,فواكه مستوردة,15,حبة,مستورد,متوفر
133,كشمش أحمر,Red Currants,فواكه مستوردة,17,حبة,مستورد,متوفر
134,فاكهة النجمة,Star Fruit,فواكه مستوردة,90,كجم,مستورد,متوفر
135,فروالة أمريكي,Strawberry USA,فواكه مستوردة,47,كجم,أمريكا,متوفر
137,نكتارين محلي,Local Nectarine,فواكه محلية,53,كجم,محلي,متوفر
138,بخارة أسود,Black Plum,فواكه مستوردة,13,كجم,مستورد,متوفر
139,بخارة أحمر,Red Plum,فواكه مستوردة,13,كجم,مستورد,متوفر
140,تفاح أصفر,Yellow Apple,فواكه مستوردة,7,كجم,مستورد,متوفر
141,مشمش محلي,Local Apricot,فواكه محلية,16,كجم,محلي,متوفر
142,تين شوكي,Prickly Pear,فواكه محلية,13,كجم,محلي,متوفر
144,تين محلي,Local Fig,فواكه محلية,23,كجم,محلي,متوفر
145,جريب فروت محلي,Local Grapefruit,فواكه محلية,6.5,كجم,محلي,متوفر
146,عنب أسود محلي,Local Black Grapes,فواكه محلية,13,كجم,محلي,متوفر
147,عنب أحمر محلي,Local Red Grapes,فواكه محلية,13,كجم,محلي,متوفر
148,عنب أبيض محلي,Local White Grapes,فواكه محلية,13,كجم,محلي,متوفر
149,جوافة تايلاند وردية,Guava,فواكه مستوردة,18,كجم,تايلاند,متوفر
150,كاكا,Persimmon,فواكه مستوردة,18,كجم,مستورد,متوفر
151,أفندي,Mandarin,فواكه مستوردة,9,كجم,مستورد,متوفر
153,خوخ محلي,Local Peach,فواكه محلية,13,كجم,محلي,متوفر
154,أناناس بيبي,Baby Pineapple,فواكه مستوردة,25,كجم,مستورد,متوفر
155,بطيخ طويل محلي,Long Watermelon,فواكه محلية,3.5,كجم,محلي,متوفر
156,ليم أخضر,Green Lime,فواكه محلية,10,كجم,محلي,متوفر
157,كزبرة,Coriander,أعشاب وورقيات,1.5,حزمة,محلي,متوفر
158,بقدونس محلي,Parsley Local,أعشاب وورقيات,1.5,حزمة,محلي,متوفر
159,جرجير,Rocket Local,أعشاب وورقيات,1.5,حزمة,محلي,متوفر
160,نعناع,Mint,أعشاب وورقيات,1.5,حزمة,محلي,متوفر
161,ملوخية,Molokhia,أعشاب وورقيات,6,كجم,محلي,متوفر
162,خس مدور محلي,Round Lettuce Local,أعشاب وورقيات,9,كجم,محلي,متوفر
163,سبانخ محلي,Local Spinach,أعشاب وورقيات,1.5,حزمة,محلي,متوفر
164,شبت,Dill,أعشاب وورقيات,1.5,حزمة,محلي,متوفر
165,كراث محلي,Local Leek,أعشاب وورقيات,1.5,حزمة,محلي,متوفر
166,خس طويل محلي,Lettuce Local,أعشاب وورقيات,7,كجم,محلي,متوفر
167,رجلة,Purslane,أعشاب وورقيات,1.5,حزمة,محلي,متوفر
168,فجل أحمر,Red Radish,خضروات محلية,1.5,حزمة,محلي,متوفر
169,فجل أبيض,White Radish,خضروات محلية,1.5,كجم,محلي,متوفر
170,كرفس محلي,Local Celery,أعشاب وورقيات,18,كجم,محلي,متوفر
171,براعم ألفالفا,Alfalfa Sprouts,أعشاب وورقيات,11,حبة,مستورد,متوفر
172,أوراق خيزران,Bamboo Leaves,أعشاب وورقيات,32,كجم,مستورد,متوفر
173,أوراق موز,Banana Leaves,أعشاب وورقيات,35,كجم,مستورد,متوفر
174,ريحان مستورد,Imported Basil,أعشاب وورقيات,58,كجم,مستورد,متوفر
175,شيكوري أحمر,Red Chicory,أعشاب وورقيات,38,كجم,مستورد,متوفر
176,شيكوري أصفر,Yellow Chicory,أعشاب وورقيات,38,كجم,مستورد,متوفر
177,ثوم معمر,Chives,أعشاب وورقيات,70,كجم,مستورد,متوفر
178,إنديف مستورد,Imported Endive,أعشاب وورقيات,35,كجم,مستورد,متوفر
179,إنديف أصفر,Yellow Endive,أعشاب وورقيات,35,كجم,مستورد,متوفر
180,ريحان تاي أرجواني,Purple Thai Basil,أعشاب وورقيات,86,كجم,تايلاند,متوفر
181,روزماري مستورد,Imported Rosemary,أعشاب وورقيات,58,كجم,مستورد,متوفر
182,أعشاب الميرمية,Sage Herbs,أعشاب وورقيات,65,كجم,مستورد,متوفر
184,كيل هولندا,Kale Holland,أعشاب وورقيات,32,كجم,هولندا,متوفر
185,كراث مستورد,Leeks Imported,أعشاب وورقيات,18,كجم,مستورد,متوفر
186,ليمون غراس,Lemon Grass,أعشاب وورقيات,33,كجم,مستورد,متوفر
187,ورق ليمون,Lemon Leaves,أعشاب وورقيات,43,كجم,مستورد,متوفر
188,أعشاب الطرخون,Tarragon Herbs,أعشاب وورقيات,88,كجم,مستورد,متوفر
189,خس فريس أخضر,Green Frisee Lettuce,أعشاب وورقيات,35,كجم,مستورد,متوفر
190,خس فريس أصفر,Yellow Frisee Lettuce,أعشاب وورقيات,48,كجم,مستورد,متوفر
191,خس راديكيو,Radicchio Lettuce,أعشاب وورقيات,35,كجم,مستورد,متوفر
192,Baby Gem Lettuce,Baby Gem Lettuce,أعشاب وورقيات,35,كجم,مستورد,متوفر
193,بوك تشوي,Bok Choy,أعشاب وورقيات,23,كجم,مستورد,متوفر
194,خس لولو بيوندي,Lollo Bionda Lettuce,أعشاب وورقيات,35,كجم,مستورد,متوفر
195,خس لولو روسو,Lollo Rosso Lettuce,أعشاب وورقيات,35,كجم,مستورد,متوفر
196,خس أوراق البلوط,Oak Leaf Lettuce,أعشاب وورقيات,35,كجم,مستورد,متوفر
197,جرجير بيبي,Baby Rocket,أعشاب وورقيات,65,كجم,مستورد,متوفر
199,ورق لايم كافير,Kaffir Lime Leaves,أعشاب وورقيات,48,كجم,مستورد,متوفر
200,أعشاب مايكرو,Micro Herbs,أعشاب وورقيات,75,كجم,مستورد,متوفر
201,أوريغانو طازج,Fresh Oregano,أعشاب وورقيات,68,كجم,مستورد,متوفر
202,بقدونس فرنسي,French Parsley,أعشاب وورقيات,28,كجم,مستورد,متوفر
203,بقدونس مجعد,Curly Parsley,أعشاب وورقيات,29,كجم,مستورد,متوفر
204,ساكورا ميكس كريس,Sakura Mix Cress,أعشاب وورقيات,80,كجم,مستورد,متوفر
205,شيسو ميكس,Shiso Mix,أعشاب وورقيات,80,كجم,مستورد,متوفر
206,براعم ساكورا ميكس,Sakura Mix Sprouts,أعشاب وورقيات,80,كجم,مستورد,متوفر
207,أوراق الزعتر,Thyme Leaves,أعشاب وورقيات,58,كجم,مستورد,متوفر
208,زعتر بري طازج,Fresh Wild Thyme,أعشاب وورقيات,58,كجم,محلي,متوفر
209,رواند مستورد,Imported Rhubarb,أعشاب وورقيات,26,كجم,مستورد,متوفر
210,كرفس طازج أمريكي,Fresh Celery USA,أعشاب وورقيات,18,كجم,أمريكا,متوفر
211,يقطين القصيم,Qassim Pumpkin,خضروات محلية,5.5,كجم,القصيم,متوفر
212,فلفل شقراء حار,Shaqra Chili,خضروات محلية,12,كجم,شقراء,متوفر
213,بصل القصيم,Qassim Onion,خضروات محلية,4,كجم,القصيم,متوفر
214,قرع أخضر طويل,Long Green Squash,خضروات محلية,5.5,كجم,محلي,متوفر
215,بصل أخضر القصيم,Qassim Spring Onion,خضروات محلية,4.5,كجم,القصيم,متوفر
216,كراث القصيم,Qassim Leek,خضروات محلية,1.5,حبة,القصيم,متوفر
217,سكري مفتل 120,Sukari Muftal 3Kg,تمور,120,3 كجم,القصيم,متوفر
219,تمور صقعي القصيم,Qassim Sagai,تمور,55,كجم,القصيم,متوفر
220,تمور مبروم المدينة,Madinah Mabroom,تمور,70,كجم,المدينة المنورة,متوفر
221,صفاوي المدينة,Madinah Safawi,تمور,45,كجم,المدينة المنورة,متوفر
222,تمور عنبر المدينة,Madinah Amber,تمور,90,كجم,المدينة المنورة,متوفر
223,عجوة ملكي,Royal Ajwa,تمور,80,كجم,المدينة المنورة,متوفر
224,رطب سكري,Sukari Rutab,تمور,45,صندوق,القصيم,متوفر
225,سلة الفواكه S50,S50 Fruit Basket,سلال وصناديق,50,سلة,متنوع,متوفر
226,صندوق الخضار M,Vegetable Box M,سلال وصناديق,75,صندوق,متنوع,متوفر
223.1,سلة الورقيات L,Leafy Greens Basket L,سلال وصناديق,30,سلة,متنوع,متوفر
228,بيض الغربية,Gharbia Eggs,خضروات مستوردة,185,صندوق,مصر,متوفر
229,زهور صالحة للأكل,Edible Flowers,أعشاب وورقيات,170,كجم,مستورد,متوفر
230,جوز الهند,Coconut,فواكه مستوردة,8,حبة,مستورد,متوفر
231,قصب السكر,Sugar Cane,فواكه مستوردة,20,كجم,مستورد,متوفر
232,فطر ترمبيت أسود,Black Trumpet Mushroom,فطر,0,كجم,مستورد,متوفر
233,فطر بلوفوت,Bluefoot Mushroom,فطر,0,كجم,مستورد,متوفر
234,فطر جيرول صغير,Small Girolle Mushroom,فطر,0,كجم,مستورد,متوفر
235,توت أسود طائفي,Taifi Blackberries,فواكه محلية,0,كجم,الطائف,متوفر
118.1,مجدول القصيم,Qassim Majdool,تمور,60,كجم,القصيم,متوفر
188.1,خس بوسطن,Boston Lettuce,أعشاب وورقيات,35,كجم,مستورد,متوفر
4.1,بصل القصيم,Qassim Onion,خضروات محلية,4,كجم,القصيم,متوفر
6.1,باذنجان طويل,Eggplant Long,خضروات محلية,5,كجم,محلي,متوفر
67.1,فطر إنوكي (حزمة),Enoki Mushroom Pack,فطر,20,حبة,مستورد,متوفر
75.1,بطاطس بيبي (بديل),Baby Potato Alt,خضروات مستوردة,21,كجم,مستورد,متوفر
144.1,كاستارد أبل,Custard Apple,فواكه مستوردة,11,كجم,مستورد,متوفر
138.1,تاماريلو مستورد,Imported Tamarillo,فواكه مستوردة,53,كجم,مستورد,متوفر
127.1,فطر شميجي بني,Brown Shimeji Mushroom,فطر,0,كجم,تايلاند,متوفر
